time,open,high,low,close,volume,label
2018-11-19 07:15:00,224.0,224.0,224.0,224.0,260,S
2018-11-19 09:45:00,223.85,223.95,219.12,220.085,43964,S
2018-11-19 10:00:00,219.53,220.29,214.7,216.2211,53264,S
2018-11-19 10:15:00,216.4575,217.0986,214.9101,215.265,124587,S
2018-11-19 10:30:00,215.15,215.4672,212.5108,214.06,102951,S
2018-11-19 10:45:00,213.78,213.975,211.35,212.54,56430,S
2018-11-19 11:00:00,212.8,213.66,211.5,212.895,58384,S
2018-11-19 11:15:00,213.01,213.8619,212.3568,212.85,104503,H
2018-11-19 11:30:00,212.83,212.83,209.5073,210.3,81083,H
2018-11-19 11:45:00,210.16,210.58,209.25,209.56,50934,H
2018-11-19 12:00:00,209.36,209.54,205.8801,206.36,78875,B
2018-11-19 12:15:00,206.28,207.23,205.32,206.06,105378,B
2018-11-19 12:30:00,206.11,207.875,206.05,207.76,57885,B
2018-11-19 12:45:00,207.54,207.7,206.07,206.945,39851,B
2018-11-19 13:00:00,206.83,207.07,206.38,207.015,46303,B
2018-11-19 13:15:00,206.735,207.305,205.3508,205.7399,31940,B
2018-11-19 13:30:00,205.678,206.01,204.77,205.5471,42728,B
2018-11-19 13:45:00,205.42,206.38,204.26,206.38,37941,B
2018-11-19 14:00:00,206.22,206.2658,204.6962,204.735,49505,B
2018-11-19 14:15:00,204.9,205.45,203.7,205.06,51592,B
2018-11-19 14:30:00,205.06,205.77,204.44,204.96,47611,B
2018-11-19 14:45:00,204.8556,205.87,204.23,205.14,33778,B
2018-11-19 15:00:00,205.14,206.19,204.8,206.155,32334,B
2018-11-19 15:15:00,205.9938,207.1,205.625,206.853,47017,B
2018-11-19 15:30:00,206.7,206.77,205.66,205.95,44602,B
2018-11-19 15:45:00,206.0,206.09,204.29,204.63,79671,B
2018-11-19 16:00:00,204.62,204.71,203.81,204.44,206294,B
2018-11-19 16:15:00,204.43,204.43,204.43,204.43,8009,B
2018-11-19 18:30:00,204.43,204.43,204.43,204.43,249,B
2018-11-19 18:45:00,204.0,204.0,204.0,204.0,130,B
2018-11-20 08:00:00,200.5,200.5,200.0,200.0,1327,B
2018-11-20 08:15:00,201.0,201.0,198.0,198.0,4224,B
2018-11-20 08:30:00,197.01,197.01,196.07,196.07,415,B
2018-11-20 09:30:00,190.5,190.5,188.0,188.0,1358,B
2018-11-20 09:45:00,189.03,203.9,188.57,203.49,264717,B
2018-11-20 10:00:00,203.36,204.39,198.639,202.0057,121442,B
2018-11-20 10:15:00,202.2,206.25,201.84,203.3,123646,B
2018-11-20 10:30:00,203.22,208.94,203.11,206.53,253764,B
2018-11-20 10:45:00,206.61,209.16,203.45,206.87,427387,B
2018-11-20 11:00:00,206.95,208.73,202.05,207.47,235141,B
2018-11-20 11:15:00,207.15,209.71,206.54,206.7452,73544,B
2018-11-20 11:30:00,206.88,206.88,205.0,205.34,68418,B
2018-11-20 11:45:00,205.34,209.0794,205.0,208.68,49238,B
2018-11-20 12:00:00,209.08,209.88,207.73,209.09,71858,B
2018-11-20 12:15:00,209.25,211.25,209.067,210.0,49053,B
2018-11-20 12:30:00,210.2027,210.37,208.42,210.14,41131,B
2018-11-20 12:45:00,210.125,210.8,209.79,210.024,32600,B
2018-11-20 13:00:00,209.94,210.58,209.22,209.815,47933,B
2018-11-20 13:15:00,209.65,211.015,209.65,210.685,33255,B
2018-11-20 13:30:00,210.63,210.78,208.195,208.95,35908,B
2018-11-20 13:45:00,208.94,209.53,208.15,208.9909,42390,B
2018-11-20 14:00:00,209.13,209.39,208.25,208.35,46459,B
2018-11-20 14:15:00,208.24,210.5,207.13,209.93,127761,B
2018-11-20 14:30:00,210.015,210.62,208.71,209.08,75369,B
2018-11-20 14:45:00,209.13,211.95,209.06,211.22,81349,B
2018-11-20 15:00:00,211.1,211.99,210.67,211.06,71932,B
2018-11-20 15:15:00,210.92,211.9453,208.76,209.81,93295,B
2018-11-20 15:30:00,209.99,212.82,209.78,212.19,146502,B
