,train loss,train accuracy,test loss,test accuracy
0,272.6972961425781,0.379875,1.067468285560608,0.44
1,269.8016357421875,0.412,1.0681304931640625,0.449
2,263.544677734375,0.465,1.0588175058364868,0.4545
3,262.44683837890625,0.471125,1.0582481622695923,0.459
4,262.2889404296875,0.477,1.0566645860671997,0.475
5,268.48486328125,0.42225,1.0639866590499878,0.4375
6,263.46942138671875,0.455625,1.058846354484558,0.465
7,262.0946350097656,0.477375,1.0520484447479248,0.4745
8,262.0544738769531,0.474875,1.0609689950942993,0.448
9,260.9240417480469,0.4875,1.053253412246704,0.4765
10,261.3205261230469,0.478875,1.0548244714736938,0.4755
11,270.1056213378906,0.405625,1.0569394826889038,0.459
12,261.7316589355469,0.47975,1.060304045677185,0.4625
13,262.1426086425781,0.474125,1.0506112575531006,0.4905
14,262.9581298828125,0.476875,1.0735868215560913,0.441
15,264.365234375,0.45675,1.0552703142166138,0.468
16,262.3670959472656,0.4755,1.0543878078460693,0.4745
17,270.9785461425781,0.405,1.107588768005371,0.296
18,264.2258605957031,0.44475,1.0577651262283325,0.4475
19,261.28387451171875,0.475375,1.0557408332824707,0.462
20,261.4110107421875,0.48075,1.0555140972137451,0.458
21,262.8840026855469,0.467375,1.130167007446289,0.2955
22,262.9389343261719,0.46425,1.0546561479568481,0.475
23,261.0369873046875,0.486125,1.0532854795455933,0.485
24,261.32562255859375,0.477875,1.056356430053711,0.4665
25,261.4560241699219,0.48075,1.0619196891784668,0.446
26,261.2735900878906,0.480375,1.0566848516464233,0.4585
27,261.2098693847656,0.48175,1.0623596906661987,0.452
28,260.76812744140625,0.485,1.052946925163269,0.4745
29,260.9427795410156,0.4835,1.0556738376617432,0.472
30,260.7174377441406,0.487625,1.0507732629776,0.4795
31,260.7070007324219,0.48475,1.052829384803772,0.472
32,260.2170715332031,0.48775,1.0494836568832397,0.4785
33,260.8427734375,0.484125,1.053960919380188,0.475
34,260.5944519042969,0.486,1.050959587097168,0.478
35,259.85540771484375,0.49275,1.0469847917556763,0.481
36,260.03369140625,0.491,1.0492061376571655,0.483
37,260.4482421875,0.489875,1.0487656593322754,0.4795
38,260.2938537597656,0.48725,1.0469756126403809,0.48
39,259.4990539550781,0.492,1.0546941757202148,0.4695
40,259.7757873535156,0.491,1.0518267154693604,0.476
41,270.7305908203125,0.423625,1.1491944789886475,0.3105
42,286.68450927734375,0.3225,1.1453089714050293,0.2965
43,284.6521301269531,0.315375,1.130895972251892,0.2945
44,276.428466796875,0.336875,1.079450249671936,0.4335
45,265.6492614746094,0.457875,1.0669519901275635,0.4415
46,264.00164794921875,0.456875,1.0625829696655273,0.4345
47,263.07342529296875,0.465125,1.0611497163772583,0.4445
48,262.41400146484375,0.47175,1.0559966564178467,0.472
49,261.8564147949219,0.482125,1.0541733503341675,0.474
50,266.4287109375,0.447875,1.149560570716858,0.296
51,281.6184997558594,0.306,1.1061444282531738,0.3125
52,273.7009582519531,0.368625,1.0906131267547607,0.3915
53,272.4554443359375,0.3925,1.0878164768218994,0.3915
54,266.92584228515625,0.42275,1.0628832578659058,0.4335
55,263.6130676269531,0.456875,1.0610651969909668,0.443
56,262.7952575683594,0.45925,1.0595749616622925,0.443
57,263.00860595703125,0.45975,1.0578789710998535,0.4405
58,262.348876953125,0.460875,1.058018445968628,0.4405
59,262.25604248046875,0.4605,1.056609034538269,0.443
60,262.3489990234375,0.465875,1.0565541982650757,0.444
61,261.91802978515625,0.46075,1.0560898780822754,0.437
62,261.82867431640625,0.4595,1.0562697649002075,0.437
63,261.5762939453125,0.46925,1.0522544384002686,0.443
64,261.8232421875,0.472,1.0603605508804321,0.4445
65,261.70916748046875,0.477375,1.055109977722168,0.437
66,261.49664306640625,0.477875,1.06117582321167,0.451
67,261.19921875,0.47975,1.0491995811462402,0.4805
68,260.63421630859375,0.482125,1.0582455396652222,0.4645
69,261.1522216796875,0.478,1.05807363986969,0.463
70,275.5799560546875,0.386375,1.1449568271636963,0.296
71,284.7969665527344,0.3105,1.127869963645935,0.3125
72,275.2919616699219,0.35275,1.0782214403152466,0.4355
73,265.4747009277344,0.459125,1.0647974014282227,0.443
74,263.946533203125,0.457125,1.0633383989334106,0.4415
75,263.2837829589844,0.458625,1.0600922107696533,0.4415
76,263.0263977050781,0.456375,1.0595215559005737,0.4395
77,262.7194519042969,0.45725,1.058386206626892,0.437
78,262.4018249511719,0.459625,1.058485507965088,0.4445
79,271.4388122558594,0.387125,1.061537265777588,0.4625
80,263.0307922363281,0.458625,1.058239221572876,0.441
81,262.55120849609375,0.463,1.0571352243423462,0.4365
82,263.05926513671875,0.46225,1.066390872001648,0.45
83,262.3946533203125,0.46025,1.0573688745498657,0.4425
84,268.4013671875,0.419,1.1331825256347656,0.287
85,268.3193359375,0.421,1.057669758796692,0.446
86,261.957763671875,0.469,1.0607974529266357,0.437
87,262.0271911621094,0.472625,1.0569247007369995,0.4485
88,261.5892333984375,0.480625,1.0557658672332764,0.4765
89,261.50830078125,0.485875,1.055092453956604,0.4665
90,261.43768310546875,0.480125,1.055526852607727,0.461
91,261.9809875488281,0.48,1.0611810684204102,0.439
92,261.5545654296875,0.477125,1.0539706945419312,0.4755
93,261.2056579589844,0.490375,1.0569558143615723,0.47
94,261.61346435546875,0.483125,1.0540364980697632,0.4715
95,262.4136657714844,0.474625,1.055053472518921,0.4685
96,261.9750061035156,0.472125,1.0552167892456055,0.475
97,262.8288879394531,0.4665,1.054573655128479,0.457
98,260.92425537109375,0.4885,1.0537421703338623,0.474
99,260.8894958496094,0.488875,1.0528959035873413,0.482
100,264.0537414550781,0.472125,1.0611395835876465,0.4585
101,261.73779296875,0.485125,1.0649828910827637,0.4625
102,261.0604553222656,0.4835,1.0561262369155884,0.464
103,260.6242980957031,0.488125,1.0536285638809204,0.4785
104,261.2449035644531,0.482125,1.1506381034851074,0.296
105,281.8711853027344,0.317125,1.0795767307281494,0.4655
106,264.8668518066406,0.4615,1.0642447471618652,0.4415
107,262.3902893066406,0.4665,1.0585684776306152,0.464
108,261.8541259765625,0.4735,1.0577117204666138,0.4715
109,261.6748352050781,0.48,1.0646657943725586,0.428
110,261.5986022949219,0.475,1.054036021232605,0.458
111,261.5162658691406,0.479875,1.0535705089569092,0.4575
112,261.24267578125,0.47625,1.051881194114685,0.473
113,261.69268798828125,0.474625,1.0516632795333862,0.474
114,261.171875,0.4785,1.0509579181671143,0.465
115,261.9355773925781,0.471875,1.0547544956207275,0.47
