,train loss,train accuracy,test loss,test accuracy
0,274.2544250488281,0.3325,1.1110385656356812,0.3125
1,273.42547607421875,0.34775,1.0652023553848267,0.4545
2,267.0614929199219,0.456875,1.0655391216278076,0.431
3,266.2903747558594,0.4555,1.0594531297683716,0.4425
4,265.63623046875,0.46175,1.0657199621200562,0.4335
5,265.6212158203125,0.458875,1.0705641508102417,0.441
6,265.3808288574219,0.458625,1.0604665279388428,0.4415
7,265.7393798828125,0.45975,1.0584053993225098,0.4385
8,264.8605041503906,0.46225,1.0552549362182617,0.442
9,263.78704833984375,0.4765,1.0497270822525024,0.465
10,264.11126708984375,0.483625,1.0525977611541748,0.4735
11,263.81707763671875,0.482625,1.0525933504104614,0.4735
12,262.89703369140625,0.482,1.0534228086471558,0.4735
13,262.90606689453125,0.476625,1.0481845140457153,0.4725
14,262.7844543457031,0.47875,1.0488605499267578,0.465
15,262.1906433105469,0.484,1.0472813844680786,0.4635
16,262.0009460449219,0.485,1.0526553392410278,0.481
17,263.37591552734375,0.471,1.0530723333358765,0.4395
18,263.60345458984375,0.456,1.0507313013076782,0.4615
19,263.2843322753906,0.457875,1.0457311868667603,0.4665
20,261.4363708496094,0.464875,1.0452630519866943,0.458
21,261.92315673828125,0.459375,1.0385313034057617,0.464
22,262.3063049316406,0.460625,1.048963189125061,0.443
23,263.1441345214844,0.451375,1.0555940866470337,0.4365
24,262.37652587890625,0.4565,1.0501762628555298,0.4535
25,263.8562927246094,0.46075,1.0446892976760864,0.4645
26,261.4944152832031,0.467,1.046376347541809,0.448
27,261.43756103515625,0.464375,1.0415312051773071,0.4525
28,261.22637939453125,0.462,1.065488338470459,0.4335
29,261.26483154296875,0.46225,1.040344476699829,0.4605
30,277.7298583984375,0.3415,1.151525855064392,0.3125
31,281.1004333496094,0.306875,1.1509848833084106,0.3165
32,280.87249755859375,0.307875,1.1505359411239624,0.2965
33,280.73443603515625,0.31675,1.1492805480957031,0.3235
34,280.4259338378906,0.309875,1.1466715335845947,0.318
35,279.6968994140625,0.314625,1.138446569442749,0.3135
36,277.079345703125,0.315375,1.1078823804855347,0.3175
37,273.0850830078125,0.35775,1.0856988430023193,0.443
38,270.1842346191406,0.455125,1.0787742137908936,0.443
39,269.3233642578125,0.457,1.0743281841278076,0.4435
40,268.634765625,0.4545,1.0727876424789429,0.4355
41,267.8783264160156,0.458625,1.069380521774292,0.442
42,267.5218505859375,0.462375,1.067189335823059,0.443
43,267.0840759277344,0.462125,1.0656957626342773,0.4395
44,266.75750732421875,0.461375,1.0771701335906982,0.425
45,266.5880432128906,0.4585,1.0609865188598633,0.442
46,266.2142028808594,0.462,1.061461091041565,0.442
47,266.52685546875,0.45175,1.067730188369751,0.431
48,267.082763671875,0.45325,1.062494158744812,0.4415
49,265.8873596191406,0.4595,1.0582174062728882,0.441
50,265.4223937988281,0.459375,1.0588494539260864,0.442
51,265.11279296875,0.460625,1.0598862171173096,0.4385
52,264.71978759765625,0.459375,1.058097004890442,0.442
53,264.59161376953125,0.4585,1.0549402236938477,0.4415
54,264.623779296875,0.46025,1.0656248331069946,0.4465
55,266.1944274902344,0.44775,1.0540889501571655,0.443
56,263.7992858886719,0.458875,1.0601695775985718,0.431
57,263.32073974609375,0.452375,1.0525574684143066,0.4365
58,264.6514892578125,0.457,1.0568608045578003,0.4405
59,270.3043518066406,0.457125,1.0636422634124756,0.4485
60,265.88092041015625,0.471,1.0598865747451782,0.4455
61,265.03656005859375,0.478,1.0557494163513184,0.4765
