time,open,high,low,close,volume
2020-11-06 18:30:00,536.0,536.0,536.0,536.0,100
2020-11-06 16:45:00,535.34,535.34,535.34,535.34,360
2020-11-06 16:15:00,535.18,535.18,535.18,535.18,13770
2020-11-06 16:00:00,536.65,536.805,534.45,534.92,96369
2020-11-06 15:45:00,535.54,536.63,534.65,536.61,37927
2020-11-06 15:30:00,535.99,536.49,534.23,535.78,32433
2020-11-06 15:15:00,535.925,536.17,534.25,535.63,16791
2020-11-06 15:00:00,535.785,536.36,535.0,536.0,15055
2020-11-06 14:45:00,536.48,537.53,536.29,536.35,14467
2020-11-06 14:30:00,537.15,537.2624,535.92,536.505,19600
2020-11-06 14:15:00,536.74,537.48,536.28,536.99,18394
2020-11-06 14:00:00,536.51,537.24,535.6101,537.055,12749
2020-11-06 13:45:00,535.79,536.945,535.68,536.52,17017
2020-11-06 13:30:00,536.5,536.54,534.92,535.555,12046
2020-11-06 13:15:00,534.6174,536.785,534.6174,536.23,16352
2020-11-06 13:00:00,532.73,534.51,531.88,534.375,13970
2020-11-06 12:45:00,533.73,534.1425,531.65,532.895,18894
2020-11-06 12:30:00,534.08,534.63,532.84,533.365,17678
2020-11-06 12:15:00,534.55,535.8499,534.2,534.2,18559
2020-11-06 12:00:00,534.69,535.6529,532.35,534.295,21859
2020-11-06 11:45:00,533.22,535.0,532.68,534.2,39089
2020-11-06 11:30:00,531.4,533.29,530.62,532.33,21049
2020-11-06 11:15:00,528.33,533.59,528.0,531.07,33154
2020-11-06 11:00:00,529.05,530.71,528.03,528.03,25866
2020-11-06 10:45:00,527.985,529.73,527.58,529.485,24195
2020-11-06 10:30:00,523.69,528.4383,523.645,527.99,26756
2020-11-06 10:15:00,520.24,524.87,519.98,524.37,25114
2020-11-06 10:00:00,520.38,522.75,519.6,519.7155,32559
2020-11-06 09:45:00,529.53,529.57,519.0,520.06,104783
2020-11-06 09:00:00,526.5,526.5,526.5,526.5,519
2020-11-06 08:45:00,526.5,526.5,526.39,526.5,733
2020-11-06 08:15:00,525.0,525.0001,525.0,525.0,719
2020-11-06 07:15:00,524.94,525.0,524.94,525.0,300
2020-11-06 06:45:00,524.0,524.0,524.0,524.0,200
2020-11-05 18:30:00,532.0,532.0,532.0,532.0,100
2020-11-05 16:30:00,531.08,531.08,531.08,531.08,1150
2020-11-05 16:15:00,531.08,531.08,531.0,531.08,71490
2020-11-05 16:00:00,530.4,532.43,529.22,531.09,109393
2020-11-05 15:45:00,532.38,532.41,530.2001,530.39,34317
2020-11-05 15:30:00,531.61,532.59,530.77,532.305,30672
2020-11-05 15:15:00,533.475,533.84,531.15,531.58,25339
2020-11-05 15:00:00,532.97,533.15,531.6,533.09,23397
2020-11-05 14:45:00,532.07,533.12,531.165,532.74,26506
2020-11-05 14:30:00,531.1,532.335,531.1,532.335,15841
2020-11-05 14:15:00,532.53,532.53,530.39,530.85,22181
2020-11-05 14:00:00,531.19,532.235,531.14,531.7,17522
2020-11-05 13:45:00,531.33,532.0,530.2195,531.4275,18902
2020-11-05 13:30:00,531.77,532.29,530.7,530.89,18364
2020-11-05 13:15:00,530.85,533.0,530.4801,531.86,25665
2020-11-05 13:00:00,529.75,531.36,529.73,530.63,14628
2020-11-05 12:45:00,528.775,529.615,527.6697,529.615,13846
2020-11-05 12:30:00,532.14,532.49,528.39,528.48,24924
2020-11-05 12:15:00,529.99,532.33,529.99,531.98,23019
2020-11-05 12:00:00,531.0732,531.3871,528.8,529.8,11083
2020-11-05 11:45:00,532.47,533.04,529.6,530.54,27639
2020-11-05 11:30:00,530.0,532.28,528.99,531.905,29436
2020-11-05 11:15:00,532.0,532.9241,528.15,529.155,43907
2020-11-05 11:00:00,528.18,532.9,526.3,532.64,46301
2020-11-05 10:45:00,527.66,529.64,527.55,528.205,38181
2020-11-05 10:30:00,529.82,531.595,526.19,527.83,59613
2020-11-05 10:15:00,525.95,532.8999,525.86,529.82,82891
2020-11-05 10:00:00,521.7,526.75,520.495,525.9,64257
2020-11-05 09:45:00,523.31,526.52,520.61,522.66,156660
2020-11-05 09:30:00,525.61,525.61,524.95,525.0,500
2020-11-05 09:00:00,526.9999,526.9999,526.6,526.6,377
2020-11-05 08:45:00,527.65,527.65,527.65,527.65,323
2020-11-05 08:30:00,526.8,526.8,526.8,526.8,260
2020-11-05 08:15:00,528.5378,528.5378,520.01,527.7698,1490
2020-11-05 08:00:00,526.22,526.22,526.22,526.22,201
2020-11-05 07:30:00,526.0,526.0,526.0,526.0,374
2020-11-04 19:00:00,514.03,514.03,514.03,514.03,100
2020-11-04 18:45:00,514.03,514.8,514.03,514.8,549
2020-11-04 17:00:00,513.58,513.58,513.58,513.58,285
2020-11-04 16:45:00,513.58,513.58,513.58,513.58,3448
2020-11-04 16:15:00,513.58,513.58,513.58,513.58,51907
2020-11-04 16:00:00,511.97,514.556,510.98,513.58,207138
2020-11-04 15:45:00,513.25,513.59,510.85,511.99,108442
2020-11-04 15:30:00,515.33,515.33,512.8,513.27,63524
2020-11-04 15:15:00,515.64,516.27,513.6,515.625,49429
2020-11-04 15:00:00,514.68,516.3,514.68,515.37,40071
2020-11-04 14:45:00,516.8,517.0,514.2337,514.65,41442
2020-11-04 14:30:00,516.42,518.23,515.17,516.39,40809
2020-11-04 14:15:00,512.82,516.4116,512.515,516.4116,43486
2020-11-04 14:00:00,512.615,514.03,511.5,513.22,30470
2020-11-04 13:45:00,513.27,516.4,512.55,512.62,35626
2020-11-04 13:30:00,513.5,514.19,512.64,513.65,30343
2020-11-04 13:15:00,515.71,515.86,512.695,513.475,40038
2020-11-04 13:00:00,515.9,516.2331,514.89,515.645,35437
2020-11-04 12:45:00,514.695,515.87,514.14,515.61,48201
2020-11-04 12:30:00,513.25,515.0,513.19,514.675,55593
2020-11-04 12:15:00,512.8,513.93,512.01,513.22,57551
