time,open,high,low,close,volume
2019-02-15 16:15:00,83.7226119944,83.7226119944,83.7226119944,83.7226119944,4691
2019-02-15 16:00:00,83.727182006,83.9054124573,83.6677718555,83.7317520176,134308
2019-02-15 15:45:00,83.7134719713,83.823152249,83.7043319481,83.7317520176,30323
2019-02-15 15:30:00,83.8505723184,83.8505723184,83.6677718555,83.7134719713,18389
2019-02-15 15:15:00,83.96939261930001,83.96939261930001,83.8094422143,83.8505723184,14775
2019-02-15 15:00:00,83.951112573,83.9876726656,83.82443185220001,83.9876726656,10011
2019-02-15 14:45:00,83.9968126887,84.0059527119,83.951112573,83.951112573,8072
2019-02-15 14:30:00,84.0882129201,84.1156329896,84.0059527119,84.0059527119,6161
2019-02-15 14:15:00,84.0882129201,84.143053059,84.0699328739,84.0973529433,8744
2019-02-15 14:00:00,84.04251280439999,84.0973529433,84.0059527119,84.0882129201,7516
2019-02-15 13:45:00,83.96025259609999,84.079072897,83.96025259609999,84.04251280439999,6960
2019-02-15 13:30:00,84.0607928507,84.0882129201,83.96939261930001,83.9968126887,7439
2019-02-15 13:15:00,84.13391303590001,84.13391303590001,84.05165282760001,84.05165282760001,4078
2019-02-15 13:00:00,84.04251280439999,84.13391303590001,84.04251280439999,84.1156329896,5274
2019-02-15 12:45:00,84.13391303590001,84.1796131516,83.951112573,84.0333727813,15191
2019-02-15 12:30:00,84.04251280439999,84.1704731284,84.04251280439999,84.1247730127,10042
2019-02-15 12:15:00,83.96939261930001,84.1064929664,83.9328325267,84.0699328739,8728
2019-02-15 12:00:00,83.9419725499,83.9968126887,83.9145524804,83.951112573,7425
2019-02-15 11:45:00,83.9419725499,84.05165282760001,83.9054124573,83.9054124573,7866
2019-02-15 11:30:00,83.9145524804,84.0059527119,83.8962724341,83.9008424457,8129
2019-02-15 11:15:00,83.9419725499,84.0607928507,83.86428235310001,83.88713241100001,11154
2019-02-15 11:00:00,83.9648226077,84.0059527119,83.8094422143,83.9099824688,8117
2019-02-15 10:45:00,84.0242327581,84.0607928507,83.80487220270001,83.951112573,10823
2019-02-15 10:30:00,83.8962724341,84.0973529433,83.8140122258,84.0333727813,10739
2019-02-15 10:15:00,83.80487220270001,83.951112573,83.5763716241,83.823152249,7021
2019-02-15 10:00:00,83.6860519018,83.9145524804,83.6860519018,83.7957321796,5753
2019-02-15 09:45:00,83.6037916935,83.7226119944,83.32045097609999,83.7043319481,34142
2019-02-14 16:15:00,83.1467905364,83.1467905364,83.1467905364,83.1467905364,4736
2019-02-14 16:00:00,83.0782403628,83.1924906521,82.8543097958,83.1193704669,199385
2019-02-14 15:45:00,83.0919503975,83.1833506289,83.0736703512,83.0782403628,57723
2019-02-14 15:30:00,83.0553903049,83.1102304438,83.0188302124,83.1010904207,22038
2019-02-14 15:15:00,83.0645303281,83.1742106058,83.0096901892,83.0416802702,39071
2019-02-14 15:00:00,83.1193704669,83.16507058270001,83.0279702355,83.0279702355,18781
2019-02-14 14:45:00,82.9639900735,83.1285104901,82.9639900735,83.1010904207,30108
2019-02-14 14:30:00,83.0828103744,83.1102304438,82.9639900735,82.9639900735,29769
2019-02-14 14:15:00,83.0234002239,83.1102304438,82.9914101429,83.1010904207,17793
2019-02-14 14:00:00,83.1285104901,83.1376505132,83.0234002239,83.0234002239,13396
2019-02-14 13:45:00,83.0919503975,83.1285104901,83.0005501661,83.1148004554,13215
2019-02-14 13:30:00,83.0828103744,83.1102304438,82.9914101429,83.0645303281,18460
2019-02-14 13:15:00,83.2107706984,83.2107706984,82.9914101429,83.0965204091,11327
2019-02-14 13:00:00,83.2747508604,83.2747508604,83.1193704669,83.1879206405,14759
2019-02-14 12:45:00,83.2656108372,83.2930309067,83.1742106058,83.2564708141,14495
