open,high,low,close,volume,label,rsi
1060.6,1066.71,1059.1106,1065.21,164798,S,46.93904800224505
1059.41,1060.22,1049.75,1056.2425,193863,S,46.558176563069544
1056.995,1065.25,1056.63,1060.1064,75785,S,46.98401399933235
1060.5,1061.32,1057.0,1061.32,52538,S,47.09597401245644
1061.4948,1062.08,1057.7982,1057.7982,42643,S,46.64843038063653
1058.27,1062.01,1057.36,1059.9722,42291,S,46.88266422780497
1060.22,1060.22,1053.3101,1053.3101,44918,S,46.05548685435868
1053.7789,1055.05,1051.02,1053.09,41023,S,45.97399079085185
1053.26,1056.51,1052.43,1055.08,41614,S,46.227320298353526
1055.19,1056.41,1052.115,1054.295,52622,S,46.12014890411689
1054.03,1054.86,1050.525,1052.64,69753,S,45.953407563264655
1053.14,1054.32,1048.98,1053.51,34109,S,46.005772488372585
1053.08,1054.85,1050.56,1050.56,27534,S,45.701853078129574
1051.12,1061.0,1049.67,1059.98,101321,S,46.94370510908004
1060.98,1067.0,1059.29,1059.59,94255,S,46.77457170745307
1060.3325,1060.47,1057.81,1059.53,38366,S,46.67672723410697
1059.19,1059.97,1055.68,1056.05,22682,S,46.29487298612816
1056.4,1057.2,1052.99,1054.74,23187,S,46.093975972114976
1055.21,1056.88,1053.7,1053.7,18460,S,45.91134136798007
1054.11,1057.98,1054.11,1056.51,24012,S,46.252444377191786
1056.11,1059.735,1054.385,1059.2,34714,S,46.68865860767324
1059.745,1062.52,1059.38,1061.46,39022,S,46.9295676074744
1061.7,1062.74,1060.385,1062.4,31080,S,47.02802925593962
1062.66,1063.36,1060.35,1062.71,34196,S,47.03510265593309
1063.22,1065.98,1062.86,1063.86,60183,S,47.12617498184764
1063.74,1064.89,1061.58,1064.5,57560,S,47.234750908943184
1064.4,1065.3225,1061.37,1061.66,176871,S,46.884953235471826
1057.2,1060.79,1051.68,1055.05,81450,S,46.61199605258817
1054.69,1056.0,1045.6688,1050.99,167988,S,46.14607459701863
1051.0,1051.0,1046.86,1048.78,49239,H,45.86884619776121
1048.89,1052.01,1044.5433,1047.38,63577,H,45.68073543019439
1047.1,1049.095,1043.33,1045.31,55721,H,45.45802725979953
1045.8,1051.615,1043.5036,1048.19,65840,H,45.813488919068895
1048.61,1049.17,1041.69,1042.1281,35145,H,45.01172656324946
1042.3178,1042.3178,1033.89,1037.28,53228,H,44.4030904323695
1036.23,1038.3,1035.37,1037.523,35962,H,44.59685649292151
1037.7909,1037.7909,1029.88,1032.55,52041,H,43.97088684788774
1032.32,1033.84,1028.28,1031.1,63060,H,43.826577593240174
1030.81,1033.04,1028.5815,1030.7104,36099,H,43.81474711182211
1030.44,1030.44,1025.56,1028.04,66429,H,43.52941331277007
1027.9376,1028.45,1024.75,1027.37,52609,H,43.461956321390474
1027.0,1029.339,1024.8836,1026.053,38618,H,43.34900676253369
1025.63,1029.185,1024.5272,1029.0266,44801,H,43.876200690185776
1029.38,1035.56,1026.5763,1035.56,55902,H,44.81778606275366
1036.28,1036.49,1025.86,1025.86,39897,H,43.57559374398382
1026.1359,1026.83,1021.62,1021.62,69756,H,43.05441538255287
1021.69,1024.89,1019.5388,1023.23,49901,H,43.28752046616875
1023.04,1027.5,1021.9572,1026.1301,49540,H,43.75310197197469
1025.3021,1028.43,1023.98,1027.74,50169,H,44.1178451892138
1027.31,1029.48,1025.2,1028.7768,63533,H,44.33670509812616
1029.1111,1029.379,1022.08,1023.36,53012,H,43.66105636157504
1024.3,1024.597,1018.101,1020.4642,74431,H,43.21838163106257
